id,title,authorName,commentCount,votes,postDate
696210,How to Get Started + Competition's Official Discord,,0,4,2026-05-01 16:28:14.170000
701822,Daily Episodes Datasets,,0,3,2026-05-19 19:03:45.217000
701583,Competition Updates,,6,0,2026-05-18 23:01:23.272000
696453,"Great competition, but no medals or points?",,2,8,2026-05-02 10:38:49.068000
702108,[Sharing] Jump-Preferred BFS (LB 1223),,0,2,2026-05-21 09:41:51.232000
702770,[SOLVED]Strange tiebreak,,4,1,2026-05-26 17:18:58.101000
696486,Possible improvements for opponent allocation,,0,1,2026-05-02 13:10:31.262000
703207,[BUG] - Cannot replicate kaggle game history,,0,0,2026-05-29 06:55:14.216000
701737,"[SOLVED] Currently local environment doesn't match environment on kaggle, so its impossible to test agents",,3,0,2026-05-19 08:29:06.432000
701748,[SOLVED] Scrolling is way to fast[CONCRETE PROOF],,0,0,2026-05-19 09:36:37.291000
700980,[SOLVED] DONT COMPETE HERE!!! CURENTLY THE GAME IS ULTRA BUGGED!!!,,7,0,2026-05-18 13:05:35.813000
700638,"[SOLVED] Factory as fast as scout, also mines dont seem to spawn[ON CALL NEEDED]",,4,0,2026-05-17 21:08:11.066000
696838,How does the competition related to machine learning,,1,0,2026-05-04 09:49:39.811000
701887,AI might take our jobs[discussion],,2,-3,2026-05-19 22:42:36.901000
