ref,title,author,lastRunTime,totalVotes
tuannm3812/maze-crawler-worker-wall-removal-agent,Maze Crawler Worker Wall-Removal Agent,tuannm3812,2026-05-28 06:09:34.060000,15
rauffauzanrambe/maze-crawler-agentic-2,Maze Crawler Agentic 2,Ra'uf Fauzan Rambe,2026-05-31 04:02:07.467000,9
tuannm3812/maze-crawler-miner-hybrid-agent,Maze Crawler Miner Hybrid Agent,tuannm3812,2026-05-29 13:57:39.360000,3
pilkwang/1000-maze-crawler-structure-baseline,(>1000) 🏭 Maze Crawler - Structure Baseline,Pilkwang Kim,2026-06-01 23:05:39.033000,31
aidensong123/crawl-starter-scouts-miners-smarter-bfs,"Crawl Starter | Scouts, Miners, Smarter BFS",AidenSong123,2026-05-23 01:48:10.263000,9
lakhindarpal/1100-lb-maze-crawler,1100+ LB | Maze Crawler,Lakhindar Pal,2026-05-01 23:00:26.100000,18
debugendless/maze-crawler-bfs-baseline,👾 Maze Crawler: BFS Baseline,Haruka Yamaguchi,2026-05-04 07:05:35.747000,2
lightningv08/worker-bfs-baseline-lb-1100-maze-crawler,Worker + BFS Baseline | LB 1100+ | Maze Crawler,Vladislav Lavrentev,2026-05-01 19:26:46.667000,29
t8101349/maze-crawler2,Maze Crawler2,weber wang,2026-05-07 04:27:57.723000,1
emanuellcs/maze-crawler-support-agent,Maze Crawler: Support Agent,Emanuel Lázaro,2026-05-02 01:25:56.407000,9
emanuellcs/maze-crawler-baseline-agent,Maze Crawler: Baseline Agent,Emanuel Lázaro,2026-05-01 21:29:53.633000,3
n3onnhowever/maze-crawler-frontier-agent,Maze Crawler: Frontier Agent,n3onnhowever,2026-05-01 21:28:32.153000,20
jek1wantaufik/modular-bfs-strategy-bot,Modular BFS Strategy Bot,Jeki Wan Taufik,2026-05-22 16:56:29.183000,6
hayaab/maze-crawler-notebook,Maze Crawler Notebook,Haya Albhaisi,2026-05-10 11:43:58.717000,4
avikdas567/fog-aware-multi-agent-strategy-for-maze-crawler,Fog-Aware Multi-Agent Strategy for Maze Crawler,Avik Das,2026-05-12 15:24:27.930000,20
koushikkumardinda/maze-crawler-bfs-agent,🤖 Maze Crawler: BFS Agent,KOUSHIK KUMAR DINDA,2026-05-20 04:31:23.970000,10
ihsanalhasan82/maze-crawler-optimized-a-pathfinding-agent,Maze Crawler: Optimized A* Pathfinding Agent,Ihsan Alsaeedi,2026-05-03 10:30:13.260000,1
bovard/getting-started-with-maze-crawler,Getting Started with Maze Crawler!,Bovard Doerschuk-Tiberi,2026-04-30 23:42:26.867000,88
jek1wantaufik/crawl-meta-agent,Crawl Meta Agent,Jeki Wan Taufik,2026-05-01 16:49:22.050000,10
ektarr/baseline-agent-maze-crawler,Baseline Agent | Maze Crawler,Maxim,2026-05-01 16:55:13.100000,11
t8101349/maze-crawler,Maze Crawler,weber wang,2026-05-05 13:47:56.353000,1
msama01/kaggle-crawl-game-agent,Kaggle Crawl Game Agent,Maram Ali,2026-05-08 10:43:50.067000,3
safar1/lb-score-1100,[LB] [SCORE] [1100+],Safarbek,2026-05-09 13:39:37.553000,8
meenalsinha/maze-crawler,Maze Crawler,Meenal Sinha,2026-05-10 07:12:07.830000,4
oskarseweryn/maze-crawler-symmetry-trick,Maze Crawler Symmetry Trick,Oskar Seweryn,2026-05-10 11:10:17.260000,7
ojanapalash/notebook852b12bb3a,notebook852b12bb3a,OjanaPalash MD. KAMAL UDDIN,2026-05-28 01:56:35.343000,1
quatlify/head-to-head-comparing-maze-agents,Head to head comparing maze agents,Андрей Савельев,2026-05-31 17:02:18.313000,1
rauffauzanrambe/maze-crawler-engine-advanced-procedural-dungeon,Maze Crawler Engine: Advanced Procedural Dungeon ,Ra'uf Fauzan Rambe,2026-05-20 04:57:11.813000,4
nbridelancetb/top-2-maze-crawler-jump-preferred-bfs-lb-1223,Top 2 Maze Crawler - Jump-Preferred BFS (LB 1223),Nicolas Bridelance,2026-05-21 14:52:32.487000,11
fuzzycoder3794/score-600-maze-crawler-only-heuristics-bfs,[Score: 600] Maze Crawler - Only Heuristics + BFS,fuzzycoder3794,2026-05-31 05:58:05.160000,0
